term|s1|s2|s3|s4|s5|s6|s7|s8|s9|s10
current|733.2772853|873.9048936|733.7129844|823.9945574|781.9595947|775.874306|814.2599608|779.3618712|781.4344205|774.5767627
curv|996.4307352|1091.576127|1060.779261|990.0928781|940.393172|1057.210862|1041.843904|993.5078786|1080.912536|1098.493966
cutoff|595.4889531|682.4601434|742.6039093|551.5711197|496.8705174|634.2238793|628.917974|597.5549418|543.819021|669.4287447
decis|642.6038572|630.6525166|547.6027498|561.9940227|649.9781384|626.9305924|686.1360808|591.5968684|772.5869729|638.4797422
defin|683.6545502|729.2841584|757.9226255|665.8278011|727.6002499|690.5927464|647.0948445|688.0637495|644.190068|726.6841704
deriv|736.3757257|758.7786851|736.701816|728.3908104|634.7672248|700.6190744|762.9068649|737.0630705|839.3377473|679.4724198
diabet|1709.507408|1460.217872|1143.621412|1479.723189|1439.497525|1562.296731|1545.298816|1266.99941|1205.537221|1311.158307
diagnos|610.460925|533.8719996|566.245418|514.7997117|536|591.5968684|488.4796566|500.3876392|446.246461|614.0137076
diagnosi|913.4026633|856.116186|940.7857533|902.1136065|820.0840433|907.7633699|866.4052301|760.1285438|791.9177412|804.1328113
diagnost|600.8937378|701.4613113|667.6597087|691.8903432|673.4496399|676.0178438|691.8903432|750.6566156|757.5581328|740.4225323
discrimin|898.1970163|874.4843406|911.8521798|915.5723636|948.069406|838.9830533|945.1900679|975.9602901|1028.413786|873.9679815
enrol|446.2858298|513.5207595|478.742981|425.4967068|434.7630308|493.1291926|430.3165106|438.7641181|406.4394882|477.674947
establish|602.7577917|610.1068499|580.5570869|613.4696079|618.9898602|624.0985086|608.2692489|587.9527186|578.6384142|534.6272697
estim|1178.173784|1129.72616|1210.579075|1180.853126|1181.999449|1119.876109|1236.575581|1087.08507|1180.604567|1073.046691
exist|494.2715403|457.6045711|504.8633968|416.7792495|438.7641181|427.8540379|446.5039714|498.7810892|438.7641181|489.8807453
failur|973.9437311|990.8886072|936.0213468|910.6749528|833.4404383|978.9382506|821.6345924|953.7449868|1001.579262|842.3968549
first|862.1145818|858.9367644|864.9262078|849.7671586|849.2892046|879.8146924|854.7368727|816.8495344|878.8467116|817.0963217
followup|920.6179014|943.5239264|1017.777123|970.5749111|907.7850311|896.6406917|960.7838908|845.2246262|952.1631496|918.4541045
found|773.3141408|881.6077121|748.7870195|818.4706828|810.7389249|818.2110172|760.5546193|776.8774516|792.1888305|803.2995471
futur|666.532917|719.5510189|707.6077431|691.7648345|636.0668015|639.8917022|699.0700183|610.5383601|638.4508515|652.8649173
genet|1241.400883|1210.281622|1107.950141|1213.507156|1045.821948|1034.35822|1058.821713|1373.074116|1227.240452|1200.865522
good|633.726515|610.0752581|613.6464381|591.4114328|570.4494103|561.1690491|600.7741524|572.6808681|676.2790589|560.9719637
hazardratio|624.6762569|549.5189581|546.0903308|497.5759234|687.5408752|555.747064|623.1485644|659.9687975|648.5545362|679.2721738
health|1016.243209|979.4279454|1115.761711|1066.788391|1020.02404|857.1124564|1010.903247|896.6620756|916.8638127|1030.858056
heart|955.3131003|967.7790582|963.5806643|825.254128|900.9061296|910.0621556|1028.125311|935.6876667|914.4634035|885.6543583
help|598.4499476|606.1296912|473.9940931|580.9708481|557.8925092|619.5972304|461.5141202|496.097655|576.4908055|470.1404826
highrisk|716.678288|723.2980177|742.0523665|692.8974699|666.4295119|707.6133581|655.7230078|644.5860699|721.1370687|670.373394
histori|803.8169315|838.8959123|788.0231692|813.5439437|700.8250917|612.1893999|835.3222824|726.3291423|721.2821573|855.3536017
hospit|960.0928813|1066.471107|1076.114655|1146.681866|1152.543497|1114.659617|1201.583896|1021.087902|1234.328602|1188.408844
identif|518.9729193|434.5854122|438.8645688|547.6293778|466.3691147|556.3830906|500.9080474|475.725176|493.8790196|493.1291926
imag|679.9890441|733.4351889|758.9565089|775.653222|769.2815405|887.2537667|761.1811245|793.3088416|1010.300298|873.0898942
incid|1058.073842|1070.609509|1116.480906|904.4592171|1044.154964|1088.050868|1024.508374|860.2724808|1068.559832|1019.930018
independ|1166.187738|1165.60765|1105.10078|1112.717542|1142.988256|1165.71997|1163.827295|1116.919531|1094.083547|1156.039982
index|1013.538958|997.5862746|1081.562652|1013.92812|1132.454212|1026.180038|1141.750793|1054.250412|1008.784105|1051.382396
influenc|524.9968674|502.7078212|490.3905222|515.1460639|484.5430913|496|521.7159347|519.3837282|481.6474555|475.1698427
inform|940.4388481|907.1204754|943.5239264|946.1479082|944.655987|904.5052155|883.1018221|960.9807537|920.8764091|873.204817
initi|593.5092776|686.7785748|755.9219863|690.7867458|692.0002175|683.6998648|723.3989914|658.2112196|677.8362963|688.3325049
intern|528.3836136|547.84731|523.6775758|568.4737579|596|471.676873|492.5572948|515.6209977|499.1630443|577.9926952
interv|843.9611008|849.4621324|839.0864398|777.4950559|851.2975047|830.2158881|937.4045331|876.4611363|856.1236388|844.6687119
intervent|748.917363|752.4072298|777.3921402|695.4750676|633.726515|633.8949595|729.0500737|621.3596125|740.1548083|693.0595066
logist|919.8737076|932.5397915|902.2916246|891.2786908|893.0319658|896.216546|894.3164174|896.0782496|925.9240565|950.6490143
manag|650.0929082|670.7011774|675.5199009|641.5436705|659.4796586|686.1301611|681.6810548|688.0786855|764.4369333|645.2128244
mani|472.9893875|508.1680743|464.9040988|436.5110142|413.1911676|470.1979443|518.0900594|443.8251845|437.9826376|436.2433328
marker|1094.826316|988.2652988|1035.88912|1041.245664|1108.916437|1093.344892|1001.118289|1013.047|1062.313724|973.4358115
men|914.4216131|930.6064106|817.1424659|952.594109|816.6219429|857.9714545|827.2696155|942.1420573|831.714501|840.2921442
mortal|2111.726561|1988.26383|2120.050952|1870.840403|2140.776921|2304.431919|2198.721659|2112.129055|2235.475575|2122.490533
multivari|866.1999597|939.4533657|936.8174171|917.0919644|915.4838687|913.7799992|886.2768025|942.980541|903.375487|977.0634747
negat|822.9282771|677.01692|792.2897484|742.6298959|796.510127|830.2365951|621.5156644|765.2471194|778.6976524|772.765389
oddsratio|743.4015949|765.447879|812.4309665|845.1114444|803.0094391|736.4862312|797.042464|743.818941|720.0306825|802.7008773
oper|760.7472426|910.0055913|895.4142832|804.1162216|808.0346113|911.4399412|837.2421229|866.4505154|883.9159582|999.0497678
optim|542.8145731|589.5979091|577.9788173|608.8883771|608.272587|489.7171726|557.9760833|508.1680743|527.5638023|541.4030195
paramet|953.6057672|1033.867005|884.2168809|893.9188504|976.6066122|975.675932|908.3992687|983.5039455|900.768627|886.8589425
particip|953.638891|978.7108656|913.2605011|759.9376439|924.1123997|872.1845129|881.6127861|953.6117661|869.6346764|913.7761162
point|811.1161409|754.8113391|795.0062129|785.9767228|564.0602114|707.8081012|903.5176151|697.828752|858.4732185|768.5980071
poor|759.0261135|612.9050056|655.8797558|663.79374|650.5233691|595.39427|710.4020379|618.5245836|581.9349689|629.6624083
practic|587.6746029|634.7932543|645.7282613|586.238146|563.8015318|523.0001051|582.1028506|602.8219664|653.1012568|560.0923112
predictor|1276.801874|1332.455419|1392.686425|1252.643665|1276.801874|1220.153289|1276.635801|1285.595451|1251.063429|1256.426094
pressur|826.7647187|753.2812764|711.0662572|710.0004611|652.8420447|669.8925643|709.0456909|842.9557889|633.7847811|656.9739564
preval|637.5076789|629.7976078|620.8078198|688.687684|671.869358|700.6686729|638.9535722|667.7220163|520.3673214|685.6024592
probabl|741.2051842|765.6868791|763.6153719|733.9754855|803.6747084|661.8712011|735.0914203|611.4801988|777.4429803|700.4351002
prognosi|674.4070749|606.8796552|494.4771099|626.2916839|713.0030147|656.5793752|623.9059467|577.9526906|595.3566238|550.4258235
prognost|1137.596857|1238.359233|1197|1281.010622|1263.840997|1213.521071|1204.160562|1244.813051|1100.205208|1139.006568
proport|567.310241|485.5549246|566.7747642|510.2388558|543.5789285|498.7810892|562.9742419|528.3356954|529.5626097|533.3183729
propos|615.7306202|570.3343559|606.7655934|661.2784927|519.7487642|546.28405|589.6979534|652.4264002|586.1535838|623.0122762
prospect|832.2423867|816.8313831|819.3713507|794.1934421|841.3740608|868.5008664|827.0412723|816.41088|819.3713507|834.5282657
purpos|593.156836|613.6100828|651.2700015|593.4257159|592.057963|616.6689421|560.689481|573.1878602|596.2471419|569.2501974
ratio|901.3831655|1061.247369|934.3538421|945.9202761|870.0141244|1058.073842|866.2900415|868.4093635|852.4453843|986.7542007
record|464.7538361|524.5071759|532.5400469|529.9386009|569.6673571|597.3678706|524.937029|552.6760218|471.0348305|538.0751489
regard|396.6544208|443.8251845|489.4085352|433.7587787|478.3272971|456.0405565|487.2991127|479.3017544|485.1173205|451.2781283
regress|1112.737853|1074|1083.016644|1045.57937|1059.785844|1124.170388|1111.890855|1066.514654|1107.284167|1118.161172
relationship|752.7550449|653.6192565|634.5217572|667.6297099|667.593055|629.9515726|534.4156018|539.5054718|662.6855259|661.6424569
relev|509.1930978|522.173966|507.1429884|455.9424795|443.7655636|487.4229744|533.0956294|461.7844084|442.942824|505.3305422
retrospect|590.9917397|600.9522746|629.2050415|573.6550614|602.5396826|606.8349812|542.28275|558.2404531|588.3566422|606.5451649
score|2642.666839|3057.3699|2541.846124|2692.820449|2488.159177|2599.184606|2816.841264|2531.596745|2825.113776|2513.179368
screen|929.4133271|922.2067854|899.9760301|944.9019388|840.5221202|840.4615507|985.1061257|926.8652194|878.632725|1027.074007
set|901.8574526|909.648786|971.0831659|900.614671|1094.07533|980.8441531|899.7500055|991.3721886|896.3735572|959.2018322
size|613.3800929|649.9781384|606.3504619|631.4837113|555.8212567|592.1727724|638.9040128|553.6934609|660.6394033|759.4110257
specif|1070.206487|1046.532343|1069.170261|1033.445198|1051.649874|1124.676484|1140.817537|981.1523402|1045.316442|1125.536478
stage|992.7929217|880.5594924|985.3492503|1045.538612|960.1761914|1157.412917|890.8602596|959.6734932|934.9083969|1007.102096
statist|872.7811214|840.4750663|855.1441533|858.6812509|747.9947805|905.440363|856.7633071|893.3452681|903.8093321|874.2280773
status|896.9745578|711.3005092|727.9311338|857.3185503|670.1734979|806.2684367|848.544581|800.3130893|794.0190295|824.1510707
stratif|542.8145731|595.3483503|587.6808778|616.6449169|574.3824792|510.6568294|578.1463394|547.84731|626.3311613|561.3779562
strong|515.0413063|502.6218034|528|479.3152888|516.1663087|493.7078415|510.2388558|478.3272971|443.1117949|472
subsequ|494.1873496|494.9683968|472.1937652|443.7502882|537.1076832|512.6922533|511.887912|489.9271138|509.3731865|484
surgeri|1016.715072|1062.598487|1029.890443|1033.098452|1119.30072|956.9789158|1138.552626|957.8500877|931.1371371|1072.555535
syndrom|592.5972684|691.3634798|651.4865093|526.0924866|543.3971293|603.6260928|646.1757693|640.7771117|595.8382514|630.3959408
tool|896.807748|1024.328987|944.3878222|975.437663|982.946372|875.7397015|911.1751797|938.4295395|1025.604782|995.145825
undergo|552|509.3731865|545.3449528|541.4316944|577.9526906|561.9705259|581.8018644|538.9094323|524.9968674|573.9941105
underw|537.8430546|561.7077851|551.3687141|554.4505594|578.3671872|596.5205713|561.5659237|560.8843868|538.627509|629.3455362
unit|599.3810378|649.5420229|478.742981|572.0919232|584.2287226|563.9604662|548.2379416|561.9107096|495.8294011|484
util|545.4234876|567.5107524|484.6151112|542.4136708|483.5884021|542.5397697|525.4299245|576.8592711|526.8361454|583.864964
valid|1438.850509|1461.317051|1386.480646|1401.210832|1415.368324|1420.481762|1526.137346|1390.235921|1487.682031|1483.067004
variabl|1265.413852|1225.723213|1288.011243|1269.849113|1230.325403|1293.150655|1245.618623|1327.561415|1318.475739|1206.817378
will|745.619926|719.078513|779.6947889|741.1096595|796.3709006|684.1660629|809.8203382|641.4510917|720.1136637|832.1346693
women|1686.390641|1800.02116|1656.971998|1511.614199|1618.365697|1574.932915|1427.615969|1934.911367|1553.002838|1429.268937
